availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
114;0;1;5;120;20221201182001
114;0;1;5;120;20221201182501
115;0;1;4;120;20221201183001
114;0;1;5;120;20221201183501
114;0;1;5;120;20221201184001
114;0;1;5;120;20221201184502
113;0;1;5;120;20221201185001
112;0;1;6;120;20221201185501
112;0;1;6;120;20221201190001
112;0;1;6;120;20221201190501
112;0;1;6;120;20221201191001
112;0;1;6;120;20221201191501
112;0;1;6;120;20221201192001
112;0;1;6;120;20221201192501
112;0;1;6;120;20221201193001
111;0;1;7;120;20221201193501
111;0;1;7;120;20221201194001
112;0;1;6;120;20221201194501
112;0;1;6;120;20221201195001
113;0;1;5;120;20221201195501
113;0;1;5;120;20221201200001
114;0;1;5;120;20221201200501
114;0;1;5;120;20221201201001
114;0;1;5;120;20221201201501
114;0;1;5;120;20221201202001
114;0;1;5;120;20221201202501
114;0;1;5;120;20221201203001
115;0;1;4;120;20221201203501
114;0;1;5;120;20221201204001
115;0;1;4;120;20221201204501
116;0;1;3;120;20221201205001
116;0;1;3;120;20221201205501
117;0;1;2;120;20221201210002
117;0;1;2;120;20221201210501
117;0;1;2;120;20221201211001
120;0;1;0;120;20221201211501
120;0;1;0;120;20221201212001
122;0;1;-1;120;20221201212501
120;0;1;0;120;20221201213001
122;0;1;-1;120;20221201213501
123;0;1;-2;120;20221201214001
124;0;1;-3;120;20221201214501
124;0;1;-3;120;20221201215001
124;0;1;-3;120;20221201215501
126;0;1;-5;120;20221201220001
126;0;1;-5;120;20221201220501
128;0;1;-6;120;20221201221001
128;0;1;-6;120;20221201221501
128;0;1;-6;120;20221201222001
129;0;1;-7;120;20221201222501
129;0;1;-7;120;20221201223001
129;0;1;-7;120;20221201223501
129;0;1;-7;120;20221201224001
129;0;1;-7;120;20221201224501
128;0;1;-6;120;20221201225001
128;0;1;-6;120;20221201225501
128;0;1;-6;120;20221201230001
128;0;1;-6;120;20221201230501
129;0;1;-7;120;20221201231001
129;0;1;-7;120;20221201231501
129;0;1;-7;120;20221201232001
129;0;1;-7;120;20221201232501
129;0;1;-7;120;20221201233001
129;0;1;-7;120;20221201233501
129;0;1;-7;120;20221201234001
129;0;1;-7;120;20221201234501
129;0;1;-7;120;20221201235001
129;0;1;-7;120;20221201235501
129;0;1;-7;120;20221202000001
129;0;1;-7;120;20221202000501
129;0;1;-7;120;20221202001001
129;0;1;-7;120;20221202001501
129;0;1;-7;120;20221202002001
129;0;1;-7;120;20221202002501
129;0;1;-7;120;20221202003001
130;0;1;-8;120;20221202003501
130;0;1;-8;120;20221202004001
130;0;1;-8;120;20221202004501
130;0;1;-8;120;20221202005001
130;0;1;-8;120;20221202005501
130;0;1;-8;120;20221202010001
130;0;1;-8;120;20221202010501
130;0;1;-8;120;20221202011001
130;0;1;-8;120;20221202011501
130;0;1;-8;120;20221202012001
130;0;1;-8;120;20221202012501
131;0;1;-9;120;20221202013001
131;0;1;-9;120;20221202013501
71;0;1;-18;60;20221202014002
71;0;1;-18;60;20221202014501
71;0;1;-18;60;20221202015001
71;0;1;-18;60;20221202015501
71;0;1;-18;60;20221202020001
71;0;1;-18;60;20221202020501
71;0;1;-18;60;20221202021001
71;0;1;-18;60;20221202021501
71;0;1;-18;60;20221202022001
71;0;1;-18;60;20221202022501
71;0;1;-18;60;20221202023001
71;0;1;-18;60;20221202023501
71;0;1;-18;60;20221202024001
71;0;1;-18;60;20221202024501
71;0;1;-18;60;20221202025001
71;0;1;-18;60;20221202025501
71;0;1;-18;60;20221202030001
71;0;1;-18;60;20221202030501
71;0;1;-18;60;20221202031001
71;0;1;-18;60;20221202031501
71;0;1;-18;60;20221202032001
71;0;1;-18;60;20221202032501
71;0;1;-18;60;20221202033001
71;0;1;-18;60;20221202033501
71;0;1;-18;60;20221202034001
71;0;1;-18;60;20221202034501
71;0;1;-18;60;20221202035001
71;0;1;-18;60;20221202035501
71;0;1;-18;60;20221202040001
71;0;1;-18;60;20221202040501
71;0;1;-18;60;20221202041001
71;0;1;-18;60;20221202041501
71;0;1;-18;60;20221202042001
71;0;1;-18;60;20221202042501
71;0;1;-18;60;20221202043001
71;0;1;-18;60;20221202043501
71;0;1;-18;60;20221202044001
71;0;1;-18;60;20221202044501
71;0;1;-18;60;20221202045001
71;0;1;-18;60;20221202045501
71;0;1;-18;60;20221202050001
71;0;1;-18;60;20221202050501
71;0;1;-18;60;20221202051001
71;0;1;-18;60;20221202051501
71;0;1;-18;60;20221202052001
71;0;1;-18;60;20221202052501
71;0;1;-18;60;20221202053001
71;0;1;-18;60;20221202053501
71;0;1;-18;60;20221202054001
71;0;1;-18;60;20221202054501
70;0;1;-16;60;20221202055001
69;0;1;-15;60;20221202055501
69;0;1;-15;60;20221202060001
68;0;1;-13;60;20221202060501
68;0;1;-13;60;20221202061001
68;0;1;-13;60;20221202061501
67;0;1;-11;60;20221202062001
66;0;1;-10;60;20221202062501
65;0;1;-8;60;20221202063001
65;0;1;-8;60;20221202063501
65;0;1;-8;60;20221202064001
64;0;1;-6;60;20221202064501
61;0;1;-1;60;20221202065001
61;0;1;-1;60;20221202065501
61;0;1;-1;60;20221202070001
60;0;1;0;60;20221202070501
60;0;1;0;60;20221202071001
61;0;1;-1;60;20221202071501
61;0;1;-1;60;20221202072001
58;0;1;3;60;20221202072501
57;0;1;5;60;20221202073001
56;0;1;6;60;20221202073501
53;0;1;11;60;20221202074001
53;0;1;11;60;20221202074501
